{'url': u'http://www.byrd.net/wp-content/app/privacy/', 'ip': u'37.84.145.68 ', 'platfrom': u'X11; Linux x86_64; rv:1.9.7.20', 'request': u'PUT /categories/explore HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:14 ', 'http_code': u'200'}
{'url': u'http://clark-carpenter.info/about/', 'ip': u'173.175.131.173 ', 'platfrom': u'Windows NT 5.2; rw-RW; rv:1.9.2.20', 'request': u'GET /category/explore/search HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:14 ', 'http_code': u'200'}
{'url': u'https://www.mercado.com/wp-content/categories/main/', 'ip': u'26.207.111.99 ', 'platfrom': u'compatible; MSIE 8.0; Windows NT 6.2; Trident/3.1', 'request': u'POST /explore/category HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:15 ', 'http_code': u'200'}
{'url': u'http://www.christensen.org/about.html', 'ip': u'239.227.237.31 ', 'platfrom': u'Macintosh; U; Intel Mac OS X 10_11_1 rv:2.0; iu-CA', 'request': u'GET /list/posts/category HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:15 ', 'http_code': u'401'}
{'url': u'http://www.page-chavez.com/author.html', 'ip': u'239.185.82.113 ', 'platfrom': u'X11; Linux i686', 'request': u'GET /search/tags/explore HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:16 ', 'http_code': u'200'}
{'url': u'http://freeman.com/tags/login/', 'ip': u'251.115.238.139 ', 'platfrom': u'Windows NT 5.2; fil-PH', 'request': u'GET /tag HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:16 ', 'http_code': u'200'}
{'url': u'https://www.cruz.com/wp-content/index.htm', 'ip': u'219.15.195.22 ', 'platfrom': u'Windows NT 5.0', 'request': u'GET /app/list HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:17 ', 'http_code': u'400'}
{'url': u'https://www.campbell-liu.biz/main/tag/terms.htm', 'ip': u'171.154.61.188 ', 'platfrom': u'Windows NT 6.1; sc-IT; rv:1.9.1.20', 'request': u'GET /search/app HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:18 ', 'http_code': u'400'}
{'url': u'https://www.rice.net/post.html', 'ip': u'5.46.14.251 ', 'platfrom': u'Windows 95; nds-NL', 'request': u'POST /search HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:18 ', 'http_code': u'200'}
{'url': u'https://www.phillips.com/faq.php', 'ip': u'224.144.73.26 ', 'platfrom': u'iPod; U; CPU iPhone OS 3_0 like Mac OS X; hu-HU', 'request': u'PUT /tags HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:19 ', 'http_code': u'200'}
{'url': u'http://white.info/about.jsp', 'ip': u'167.66.249.221 ', 'platfrom': u'Macintosh; PPC Mac OS X 10_6_5; rv:1.9.6.20', 'request': u'GET /main HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:19 ', 'http_code': u'401'}
{'url': u'https://www.robinson-caldwell.org/', 'ip': u'25.122.249.250 ', 'platfrom': u'Macintosh; U; Intel Mac OS X 10_7_3; rv:1.9.3.20', 'request': u'PUT /category/blog HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:20 ', 'http_code': u'401'}
{'url': u'http://jones.org/register.php', 'ip': u'50.113.254.97 ', 'platfrom': u'Windows; U; Windows NT 4.0', 'request': u'PUT /tag HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:20 ', 'http_code': u'401'}
{'url': u'https://www.santos.com/author/', 'ip': u'255.177.34.240 ', 'platfrom': u'iPod; U; CPU iPhone OS 3_3 like Mac OS X; hr-HR', 'request': u'PUT /search HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:21 ', 'http_code': u'200'}
{'url': u'http://ware.com/login/', 'ip': u'202.148.10.117 ', 'platfrom': u'compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0', 'request': u'POST /tag HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:22 ', 'http_code': u'200'}
{'url': u'https://neal-riddle.info/author/', 'ip': u'208.105.161.187 ', 'platfrom': u'compatible; MSIE 6.0; Windows NT 5.01; Trident/3.1', 'request': u'POST /tags/wp-content HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:22 ', 'http_code': u'401'}
{'url': u'http://yang-jones.biz/', 'ip': u'111.115.15.206 ', 'platfrom': u'compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/4.1', 'request': u'POST /categories/categories/main HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:23 ', 'http_code': u'400'}
{'url': u'https://jimenez-morris.com/homepage/', 'ip': u'38.194.223.105 ', 'platfrom': u'X11; Linux x86_64', 'request': u'POST /list HTTP/1.1', 'http_code_meaning': u' ok', 'timestamp': u' 03/Jul/2018:16:30:23 ', 'http_code': u'200'}
{'url': u'https://www.hamilton.com/homepage.html', 'ip': u'160.167.53.254 ', 'platfrom': u'compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0', 'request': u'PUT /search HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:24 ', 'http_code': u'400'}
{'url': u'https://www.morris-jones.com/list/about.asp', 'ip': u'86.217.187.254 ', 'platfrom': u'Windows 95; ne-NP', 'request': u'GET /search HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:24 ', 'http_code': u'401'}
{'url': u'https://www.burns.com/tags/tag/main/', 'ip': u'12.170.104.122 ', 'platfrom': u'compatible; MSIE 5.0; Windows 98; Trident/4.1', 'request': u'PUT /list HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:25 ', 'http_code': u'400'}
{'url': u'https://www.rodriguez.com/search/main/list/register.php', 'ip': u'102.161.174.153 ', 'platfrom': u'compatible; MSIE 7.0; Windows NT 5.2; Trident/4.1', 'request': u'POST /posts HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:25 ', 'http_code': u'400'}
{'url': u'https://webb-craig.com/posts/tags/categories/post/', 'ip': u'48.235.235.230 ', 'platfrom': u'compatible; MSIE 9.0; Windows 98; Trident/3.0', 'request': u'GET /main/tag HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:26 ', 'http_code': u'400'}
{'url': u'http://hart.info/category/tags/terms/', 'ip': u'52.138.154.81 ', 'platfrom': u'compatible; MSIE 7.0; Windows 98; Trident/3.0', 'request': u'GET /app/app/app HTTP/1.1', 'http_code_meaning': u' bad request', 'timestamp': u' 03/Jul/2018:16:30:27 ', 'http_code': u'400'}
{'url': u'http://meyer-cabrera.net/categories/search/search/category/', 'ip': u'236.5.57.166 ', 'platfrom': u'compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1', 'request': u'POST /list/explore/categories HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:27 ', 'http_code': u'401'}
{'url': u'http://www.simmons.info/about.php', 'ip': u'105.127.199.206 ', 'platfrom': u'compatible; MSIE 9.0; Windows NT 4.0; Trident/3.0', 'request': u'PUT /tag HTTP/1.1', 'http_code_meaning': u' unauthorised', 'timestamp': u' 03/Jul/2018:16:30:28 ', 'http_code': u'401'}
